"index","class","subclass","usage","color","surface_structure_texture_coating","status","effective_solar_incidence_angle"
"A001","Asphalt","Grey asphalt","Ground","Grey","Fine roughness","Weathered",30.33;
"A002","Asphalt","Grey asphalt","Ground","Grey","Fine roughness","Weathered",26.41;
"A003","Asphalt","Grey asphalt","Ground","Grey","Fine roughness","Weathered",26.46;
"A004","Asphalt","Grey asphalt","Ground","Grey","Fine roughness","Weathered",30.33;
"B001","Brick (clay)","Red brick","Facade","Red","Fine roughness","New",63.27;
"B002","Brick (clay)","Red brick","Facade","Red","Fine roughness","New",78.44;
"B003","Brick (clay)","Red brick","Facade","Red","Fine roughness","New",78.43;
"B004","Brick (clay)","Red brick","Ground","Red","Fine roughness","Weathered",27.12;
"B005","Brick (clay)","Red brick","Facade","Red","Smooth","New",58.52;
"B006","Brick (clay)","Red brick","Facade","Red","Bare; smooth","New",24.30;
"B007","Brick (clay)","Red brick","Facade","Red","Bare; smooth","New",24.30;
"B008","Brick (clay)","Red brick","Facade","Red","Bare; smooth","New",24.31;
"B101","Brick (clay)","Beige brick","Facade","Beige","Smooth","Weathered",64.54;
"B102","Brick (clay)","Beige brick","Facade","Beige","Smooth","Weathered",64.57;
"B103","Brick (clay)","Beige brick","Facade","Beige","Smooth","Weathered",67.56;
"B104","Brick (clay)","Beige brick","Facade","Beige","Fine roughness","Weathered",58.51;
"B201","Brick (clay)","Painted brick","Facade","Grey","Fine roughness; painted","Weathered",74.10;
"B202","Brick (clay)","Painted brick","Facade","Beige","Smooth; painted","New",65.17;
"C001","Mortar","Grey mortar ","Facade","Grey","Fine roughness","New",81.39;
"C002","Mortar","Grey mortar ","Facade","Grey","Fine roughness","New",75.96;
"C003","Mortar","Grey mortar ","Facade","Grey","Fine roughness","New",58.93;
"D001","Ceramic","Glazed ceramic (bricks)","Facade","Red","Glazed; smooth; reflective","New",30.38;
"D002","Ceramic","Glazed ceramic (bricks)","Facade","Red","Glazed; smooth; reflective","New",63.28;
"D003","Ceramic","Glazed ceramic (bricks)","Facade","Red","Glazed; smooth; reflective","New",65.62;
"D004","Ceramic","Glazed ceramic (bricks)","Facade","Red","Glazed; smooth; reflective","Weathered",74.66;
"D101","Ceramic","Dark reflective ceramic","Facade","Black","Smooth; reflective","New",81.51;
"D102","Ceramic","Dark reflective ceramic","Facade","Black","Smooth; reflective","New",58.88;
"D103","Ceramic","Dark reflective ceramic","Roof","Grey","Smooth; reflective","New",18.90;
